index,ticker,name,exchangeCode,description,startDate,endDate
0,AAPL,Apple Inc,NASDAQ,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook. Its hardware products include iPhone smartphones, iPad tablet computers, Mac personal computers, iPod portable media players, Apple Watch smartwatches, Apple TV digital media players, AirPods wireless earbuds, AirPods Max headphones, and the HomePod smart speaker line. Apple's software includes the iOS, iPadOS, macOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro X, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Arcade, Apple Music, Apple TV+, Apple Fitness+, iMessage, and iCloud. Other services include Apple Stores, the Genius Bar, AppleCare, Apple Pay, Apple Cash, and Apple Card. Apple's worldwide annual revenue totalled $274.5 billion for the 2020 fiscal year. Apple is the world's largest technology company by revenue and since January 2021, the world's most valuable company. Apple is the world's 4th-largest PC vendor by unit sales as of January 2021. It is also the world's fourth-largest smartphone manufacturer. In August 2018, Apple became the first publicly traded U.S. company to be valued at over $1 trillion and just two years later, in August 2020 became the first $2 trillion U.S. company. Apple employs 147,000 full-time employees and maintains 510 retail stores in 25 countries as of 2020. It operates the iTunes Store, which is the world's largest music retailer. As of January 2020, more than 1.5 billion Apple products are actively in use worldwide. The company also has a high level of brand loyalty and is ranked as the world's most valuable brand. However, Apple receives significant criticism regarding the labour practices of its contractors, its environmental practices and unethical business practices, including anti-competitive behaviour, as well as the origins of source materials.",12-12-1980,05-04-2021
1,AMZN,Amazon.com Inc,NASDAQ,"Amazon.com, Inc. is an American multinational technology company based in Seattle, Washington, which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand. Jeff Bezos founded Amazon from his garage in Bellevue, Washington, on July 5, 1994. It started as an online marketplace for books but expanded to sell electronics, software, video games, apparel, furniture, food, toys, and jewellery. In 2015, Amazon surpassed Walmart as the most valuable retailer in the United States by market capitalization. In 2017, Amazon acquired Whole Foods Market for US$13.4 billion, which substantially increased its footprint as a physical retailer. In 2018, its two-day delivery service, Amazon Prime, surpassed 100 million subscribers worldwide. Amazon is known for its disruption of well-established industries through technological innovation and mass scale. It is the world's largest online marketplace, AI assistant provider, live-streaming platform and cloud computing platform as measured by revenue and market capitalization. Amazon is the largest Internet company by revenue in the world. It is the second largest private employer in the United States and one of the world's most valuable companies. As of 2020, Amazon has the highest global brand valuation. Amazon distributes downloads and streaming of video, music, and audiobooks through its Prime Video, Amazon Music, Twitch, and Audible subsidiaries. Amazon also has a publishing arm, Amazon Publishing, a film and television studio, Amazon Studios, and a cloud computing subsidiary, Amazon Web Services. It produces consumer electronics including Kindle e-readers, Fire tablets, Fire TV, and Echo devices. Its acquisitions over the years include Ring, Twitch, Whole Foods Market, and IMDb. Amazon has been criticized for practices including technological surveillance overreach, a hyper-competitive and demanding work culture, tax avoidance, and anti-competitive behaviour.",15-05-1997,05-04-2021
2,AXP,American Express Company,NYSE,"The American Express Company (Amex) is a multinational financial services corporation headquartered at 200 Vesey Street in the Financial District of Lower Manhattan in New York City. The company was founded in 1850 and is one of the 30 components of the Dow Jones Industrial Average. The company's logo, adopted in 1958, is a gladiator or centurion whose image appears on the company's well-known traveler's cheques, charge cards, and credit cards. During the 1980s, Amex invested in the brokerage industry, acquiring what became, in increments, Shearson Lehman Hutton and then divesting these into what became Smith Barney Shearson (owned by Primerica) and a revived Lehman Brothers. By 2008 neither the Shearson nor the Lehman name existed. In 2016, credit cards using the American Express network accounted for 22.9% of the total dollar volume of credit card transactions in the United States. As of December 31, 2019, the company had 114.4 million cards in force, including 54.7 million cards in force in the United States, each with an average annual spending of $19,972. In 2017, Forbes named American Express as the 23rd most valuable brand in the world (and the highest within financial services), estimating the brand to be worth US$24.5 billion. In 2020, Fortune magazine ranked American Express at number 9 on their Fortune List of the Top 100 Companies to Work For in 2020 based on an employee survey of satisfaction.",01-06-1972,05-04-2021
3,BA,Boeing Company,NYSE,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers; it is the second-largest defense contractor in the world based on 2018 revenue, and is the largest exporter in the United States by dollar value. Boeing stock is included in the Dow Jones Industrial Average. Boeing is incorporated in Delaware. Boeing was founded by William Boeing in Seattle, Washington on July 15, 1916. The present corporation is the result of the merger of Boeing with McDonnell Douglas on August 1, 1997. Then chairman and CEO of Boeing, Philip M. Condit, assumed those roles in the combined company, while Harry Stonecipher, former CEO of McDonnell Douglas, became president and COO. The Boeing Company has its corporate headquarters in Chicago, Illinois. Boeing is organized into four primary divisions: Boeing Commercial Airplanes (BCA); Boeing Defense, Space & Security (BDS); Boeing Global Services; and Boeing Capital. In 2019, Boeing recorded US$ 76.6  billion in sales. Boeing is ranked 40th on the Fortune magazine ""Fortune 500"" list (2019), and ranked 121th on the ""Fortune Global 500"" list (2020). In 2019, Boeing's global reputation, commercial business, and financial rating suffered after the 737 MAX was grounded worldwide following two fatal crashes in late 2018 and early 2019.",02-01-1962,05-04-2021
4,CRM,Salesforce.Com Inc,NYSE,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development. In 2020, Fortune magazine ranked Salesforce at number six on its list, ""100 Best Companies to Work For,"" based on an employee survey of satisfaction. In 2009, in response to the financial crisis of 2007�2008 and the resulting decline in venture funding, Salesforce began investing in digital companies that used or integrated Salesforce platform. This eventually became Salesforce Ventures, headed by John Somorjai. Since then various funds have been created to focus on specific areas � in September 2014 SFV set up Salesforce1 Fund, aimed at start-ups creating applications primarily for mobile phones. In December 2018, Salesforce Ventures announced the launch of the Japan Trailblazer Fund, focused on Japanese startups. As of August 2018, Salesforce Ventures reported investments totaling $1.2 billion in 275 companies covering a wide range of business models, including e-commerce (CloudCraze), artificial intelligence (Figure Eight), online fraud prevention (Forter), Accounting and Professional Services Automation software (FinancialForce) and many other areas. Its five largest investments Domo (data-visualization software), SurveyMonkey (online survey software), Twilio (cloud-communication), Dropbox (cloud storage), and DocuSign (secure e-signature company) account for nearly half of its portfolio.",23-06-2004,05-04-2021
5,CSCO,Cisco Systems Inc,NASDAQ,"Cisco is the worldwide leader in technology that powers the Internet. Cisco inspires new possibilities by reimagining your applications, securing your data, transforming your infrastructure, and empowering your teams for a global and inclusive future. Discover more on The Network and follow us on Twitter. About AppDynamics AppDynamics, a part of Cisco, is the world�s #1 Application Performance Monitoring (APM) solution and full-stack, business-centric observability platform that helps technologists prevent digital performance issues by monitoring cloud-native technologies and traditional infrastructure to understand exactly what drives user experiences and impacts the bottom line for businesses. Core products include: Business iQ, Experience Journey Map, and Cognition Engine. AppDynamics has been recognized by Gartner as a leader in the APM market for more than eight years and was positioned highest in ability to execute in Gartner�s 2020 Magic Quadrant Report for APM. It received Glassdoor�s 2019 Best Places to Work Award and Fortune�s top 5 Best Places to Work in 2020 as part of Cisco. Cisco and the Cisco logo are trademarks or registered trademarks of Cisco and/or its affiliates in the U.S. and other countries. Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware. Cisco stock was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index. In 2020, Fortune magazine ranked Cisco at number four on their annual list of the 100 Best Companies to Work For in 2020 based on an employee survey of satisfaction. Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists who had been instrumental in connecting computers at Stanford. They pioneered the concept of a local area network (LAN) being used to connect geographically disparate computers over a multiprotocol router system. By the time the company went public in 1990, Cisco had a market capitalization of $224 million; by the end of the dot-com bubble in the year 2000, this had increased to $500 billion. As of November 2020, Cisco has a market cap of around $173 billion.",26-03-1990,05-04-2021
6,CVX,Chevron Corp,NYSE,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil, natural gas, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest companies; as of March 2020, it ranked fifteenth in the Fortune 500 with a yearly revenue of $146.5 billion and market valuation of $136 billion. In the 2020 Forbes Global 2000, Chevron was ranked as the 61st -largest public company in the world. It was also one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s. Chevron is incorporated in California. Chevron's downstream operations manufacture and sell products such as fuels, lubricants, additives, and petrochemicals. The company's most significant areas of operations are the west coast of North America, the U.S. Gulf Coast, Southeast Asia, South Korea and Australia. In 2018, the company produced an average of 791,000 barrels of net oil-equivalent per day in United States.",02-01-1970,05-04-2021
7,GOOG,Alphabet Inc - Class C,NASDAQ,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware. It is considered one of the five Big Tech companies alongside Amazon, Facebook, Apple, and Microsoft. Google was founded in September 1998 by Larry Page and Sergey Brin while they were Ph.D. students at Stanford University in California. Together they own about 14% of its shares and control 56% of the stockholder voting power through super-voting stock. Google was incorporated in California on September 4, 1998. Google was then reincorporated in Delaware on October 22, 2002. In July 2003, Google moved to its headquarters in Mountain View, California, nicknamed the Googleplex. The company became a public company via an initial public offering (IPO) on August 19, 2004. In October 2015, Google reorganized as a subsidiary of a conglomerate called Alphabet Inc. Google is Alphabet's largest subsidiary and is a holding company for Alphabet's Internet interests. Sundar Pichai was appointed CEO of Google, replacing Larry Page, who became the CEO of Alphabet. In 2021, the Alphabet Workers Union was founded, mainly composed of Google employees. The company's rapid growth since incorporation has included products, acquisitions, and partnerships beyond Google's core search engine, (Google Search). It offers services designed for work and productivity (Google Docs, Google Sheets, and Google Slides), email (Gmail), scheduling and time management (Google Calendar), cloud storage (Google Drive), instant messaging and video chat (Google Duo, Hangouts, Google Chat, and Google Meet), language translation (Google Translate), mapping and navigation (Google Maps, Waze, Google Earth, and Street View), podcast hosting (Google Podcasts), video sharing (YouTube), blog publishing (Blogger), note-taking (Google Keep and Jamboard), and photo organizing and editing (Google Photos). The company leads the development of the Android mobile operating system, the Google Chrome web browser, and Chrome OS, a lightweight operating system based on the Chrome browser. Google has moved increasingly into hardware; from 2010 to 2015, it partnered with major electronics manufacturers in the production of its Google Nexus devices, and it released multiple hardware products in October 2016, including the Google Pixel line of smartphones, Google Home smart speaker, Google Wifi mesh wireless router, and Google Daydream virtual reality headset. Google has also experimented with becoming an Internet carrier (Google Fiber, Google Fi, and Google Station). Google.com is the most visited website worldwide. Several other Google-owned websites also are on the list of most popular websites, including YouTube and Blogger. On the list of most valuable brands, Google is ranked second by Forbes and fourth by Interbrand. It has received significant criticism involving issues such as privacy concerns, tax avoidance, antitrust, censorship, and search neutrality.",27-03-2014,05-04-2021
8,GS,Goldman Sachs Group Inc,NYSE,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. It also provides investment banking to institutional investors. The bank is one of the largest investment banking enterprises in the world by revenue, and is a primary dealer in the United States Treasury security market and more generally, a prominent market maker. It is considered a systemically important bank by the Financial Stability Board. The group also owns Goldman Sachs Bank USA, a direct bank. Goldman Sachs was founded in 1869 and is headquartered at 200 West Street in Lower Manhattan with additional offices in other international financial centers. As a result of its involvement in securitization during the subprime mortgage crisis, Goldman Sachs suffered during the financial crisis of 2007�2008, and received a $10 billion investment from the United States Department of the Treasury as part of the Troubled Asset Relief Program, a financial bailout created by the Emergency Economic Stabilization Act of 2008. The investment was made in November 2008 and was repaid in June 2009. Several former employees of Goldman Sachs have moved on to work in government positions. Notable examples include former U.S. Secretaries of the Treasury Steven Mnuchin, Robert Rubin, and Henry Paulson; former Under Secretary of State John C. Whitehead; former chief economic advisor Gary Cohn; Governor of New Jersey Phil Murphy and former Governor of New Jersey Jon Corzine; former Prime Minister of Italy Mario Monti; former European Central Bank President Mario Draghi; former Bank of Canada and Bank of England Governor Mark Carney; British Chancellor of the Exchequer Rishi Sunak; and the former Prime Minister of Australia Malcolm Turnbull. In addition, former Goldman employees have headed the New York Stock Exchange, the London Stock Exchange Group, the World Bank, and competing banks such as Citigroup and Merrill Lynch. As of May 2020, the company was ranked 62nd on the Fortune 500 list of the largest United States corporations by total revenue. Goldman Sachs was embroiled in a major scandal with 1MDB and paid a record fine over FCPA, making it on the top 10 list of FCPA violations as of 2021. Merchant Banking Division�s Private Credit Group has been a leading investor in private credit for over 20 years and has raised over $80 billion. Senior Credit Partners II is the fifteenth commingled corporate credit vehicle managed by MBD since 1996. In December 2018, Goldman Sachs private debt investing businesses were ranked first in Private Debt Investor�s PDI 50, which ranks managers by total capital raised over the last five years. About Goldman Sachs Merchant Banking Division MBD is the primary center for Goldman Sachs long term principal investing activity, investing in equity and credit across corporate, real estate and infrastructure strategies. MBD is the primary center for Goldman Sachs long term principal investing activity, investing in equity and credit across corporate, real estate and infrastructure strategies. Since its founding over 25 years ago, MBD has invested over $200 billion across these strategies. With nine offices in six countries around the world, MBD is one of the largest managers of private capital globally, offering deep expertise and long-standing relationships with companies, investors, entrepreneurs and financial intermediaries around the world. About Goldman Sachs The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.",04-05-1999,05-04-2021
9,IBM,International Business Machines Corp,NYSE,"International Business Machines Corporation (IBM) is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed ""International Business Machines"" in 1924. IBM is incorporated in New York. IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most U.S. patents generated by a business (as of 2020) for 28 consecutive years.[8] Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s. IBM has continually shifted business operations aimed at focusing on higher-value, more profitable markets. This includes spinning off printer manufacturer Lexmark in 1991 and the sale of personal computer (ThinkPad/ThinkCentre) and x86-based server businesses to Lenovo (in 2005 and 2014, respectively), and acquiring companies such as PwC Consulting (2002), SPSS (2009), The Weather Company (2016), and Red Hat (2019). In 2015, IBM announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries, and in 2020, the company announced the spin-off of the Managed Infrastructure Services unit of its Global Technology Services division, with expected completion by the end of 2021. Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with (as of 2020) over 345,000 employees, known internally as ""IBMers"". At least 70% of IBM employees are based outside the United States, and the country with the largest number of IBM employees is India.[9] IBM employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA). International Business Machines Corporation (IBM) is an information technology (IT) company. IBM operates in five segments: Global Technology Services (GTS), Global Business Services (GBS), Software, Systems and Technology and Global Financing. GTS primarily provides IT infrastructure services and business process services. GBS provides professional services and application management services. Software consists primarily of middleware and operating systems software. Systems and Technology provides clients with business solutions requiring advanced computing power and storage capabilities. In October 2013, International Business Machines Corporation acquired Xtify Inc. In October 2013, the Company announced that it has completed the acquisition of The Now Factory, a privately held provider of analytics software that helps communications service providers (CSPs) deliver better customer experiences and drive new revenue opportunities.",02-01-1962,05-04-2021
